No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
							
							
197	117327198	131389818	0	0	1	1	"ed, and the organic phase was washed twice with pure solvent upper phase (PSUP) (38). The hot aqueous phenol extraction is a scaled down modification of the procedure established by Westphal and Jann =-=(51)-=-. Prior to phenol extraction, unincorporated substrate was removed by washing the membranes three times in 0.6 ml of 40 mM MgCl2. The membranes were resuspended in 0.3 ml of 40 mM MgCl2, and an equal "
							
							
198	46941631	47599228	0	0	0	1	"ate D-brane wrapping around a vanishing supersymmetric cycle. In fact, since manifolds of G2 holonomy have only 3-cycles and 4-cycles which are supersymmetric (see for instance the sixth reference in =-=[9]-=-). this implies that the 4-brane in Type IIA is wrapping around a vanishing 4-cycle. 7 Presumably, this can be shown using standard D-brane techniques. 93 M-manifold Description. In this section, we "
							
200	53002441	53506573	0	0	0	1	"ed by antigenspecific assays (19, 23). This would however, assume a precursor frequency too large to be accommodated by estimations of the relative frequencies of B cells specific for any one antigen =-=(24)-=-. In addition, experiments by Asofsky et al. (5) demonstrated that the nonspecific Ig induced by ferritin could not be removed on ferritin-coated columns. This procedure would have been expected to re"
							
201	17426422	16295703	0	0	1	0	"al responses of physical systems (Essl, 2002, pg. 10). It relies on the fact that any sound-producing object can be represented as a collection of vibrating substructures characterized by modal data (=-=Pakarinen, 2004-=-, pg. 3). Some of these methods include additive sinusoidal modeling, and resonant filter modeling. Modal synthesis methods have been used to model plates and drums (Cook, 2000, pg. 20), but still are"
							
203	9539346	9030653	1	0	0	0	"parameter tends to the singular values (the results were announced in [1]). Before that, we test the method by treating a simpler problem, namely the solutions of pure YM equations invariant under SO=-=(3)-=- \\Theta SO o (1; 1). Here we recover the results obtained in [4] in the particular case where two of the three functions appearing in the gauge potential vanish identically. The feasability of our app"
							
204	83387241	86628077	0	1	0	0	"bability, and the TCP sending rate. The third approach has been the dynamic behavior of TCP. Much work has focused on a first principles approach to modeling the dynamics of TCP [SI, [9], [lo], 1111, =-=[12]-=-. The approach followed in the present paper is distinct for these other works in that no modeling assumptions are made, that is, the models are developed via the "
							
206	971242	908071	0	0	0	1	"portant artifact in the software development process; in fact, variants of state machines have been proposed for virtually all software engineering methodologies, including, most notably, Statecharts =-=[1]-=- and the UML [2]. The sustained success of state machines in software engineering stems from the fact that state machines provide for both a concise mathematical theory, and an intuitive semantics of "
							
207	14586415	13594072	0	0	1	0	"ignificant bias errors could be encountered when using such simplified functions for estimation of relative permeabilities from laboratory experiments. They introduced spline function representations =-=[39, 40]-=- as a way of minimizing such estimation errors. They developed and tested an algorithm for accurately determining relative permeabilities using cubic spline representations. Subsequently, in [49] this"
							
209	9214537	8739308	0	0	1	0	"he slotted-ring models presented are rather abstract. Although they omit many system details, they do reveal behaviour patterns that others have found after much more timeconsuming simulation studies =-=[22, 23, 28]-=- or with numerical analyses [1, 2, 15, 29]. The question is, we believe, not so much whether our models mimic reality very precisely as whether they predict the overall performance behaviour, expresse"
							
210	38365108	39822600	0	0	0	1	"es wrong) recommendations from their experiences. In 1989, the value of telepointers was placed on an empirical footing when Tang developed a framework cataloging activities in a shared drawing space =-=[16]-=-. In his study of face to face small group design meetings, participants using a shared drawing space (white-boards or large sheets of paper on a table) produced three significant actions: listing of "
							
213	191965954	225009933	0	0	0	1	"consider the fractional-order model of the form G(s)= eLs (s 1)(Ts+1)g which is an unstable time delay process. L is the time delay, T is the time constant and g is a fractional number belonging to =-=(0,2)-=-. Obviously, the order of the plant is g+1. The motivation of considering a fractional order for the plant can be found in the model considered in Magin16 and Goychuk and Hanggi,17 where the fitting b"
							
215	7565527	7230536	0	0	1	0	"stics of the channel noise in rate-distortion analysis. Recently, the best image compression method is known as Embedded Zerotree Wavelet (EZW) algorithm [1]. Although several improved methods of EZW =-=[2]-=- are proposed, their basic ideas are similar. Therefore, we concentrate on the robustness of EZW algorithm. For EZW, once a single bit error occurs in the encoded bitstream, the bits before the error "
							
216	55585961	56207679	0	0	0	1	"migration. Applications of Markov chains to urban land use dynamics began to appear in the 1970s as an alternative to the use of large-scale urban simulations models for land use forecasting. Bourne =-=[5]-=- cited the ability to incorporate elements of inertia in land use succession processes as a key advantage of Markov chain models. In particular, the matrix of transition probabilities could be seen as"
							
217	10415126	9816854	1	0	0	0	"""split"" notion of model introduced by Cartmell [4], see also [12], for which an interpretation function is readily available. The method we use is a very general procedure due to B'en=-=abou (see [2]-=- and [7, Prop. 1.3.6]) which turns an arbitrary fibration into an equivalent split fibration. Our contribution consists of the observation that the cwa obtained thus has not merely a split substitutio"
							
218	6654475	6395572	0	0	1	0	"ound function and fewer rounds. Other cipher designs of the period| REDOC II [CW91], LOKI [BPS90] and LOKI 93 [BKPS93], IDEA [LM91, LMM91]|only considered performance as an afterthought. Khufu/Khafre =-=[Mer91]-=- was thesrst published algorithm that explicitly used operations that were ecient on 32-bit microprocessors; SEAL [RC94, RC97] is a more recent example. RC2 [Riv97, KRRR98] was designed for 16-bit mic"
							
219	48419874	48642715	0	0	0	1	"to semiclassical field theory 3.1 Semiclassical states Consider an axiomatic approach to construct the semiclassical field theory. We will not use equations of motion; instead, the usual requirements =-=[4]-=- of the axiomatic theory will be used. These are Poincare invariance, existence of vacuum state |0 >, relativistic invariance of the field "
							
221	2867930	2755625	0	0	1	0	"spanning structure a point from a cone of angle ?, resulting in a sequence p1,p2,...,pn such that for each index i, pi+1,...,pn are contained in a cone of angle ? with apex pi; see Ruppert and Seide=-=l [10] -=-or Arya et al. [2]. (Note, however, that such a sequence of points does not necessarily define a ?-self-approaching polygonal chain because the property may not hold for every point in the interior o"
							
223	110264234	122065306	0	0	1	0	"personnel. Repetitive extragenic palindromic sequences-PCR (REP-PCR) pattern analysis has been used to distinguish strains of the family Enterobacteriaceae and species of Bartonella and Mycobacteria =-=(2, 18, 22)-=- but has not previously been used for Francisella strains. In clinical practice, we encountered two unusual clinically significant Francisella strains which might have been misidentified by routine st"
							
224	21485821	20262090	0	0	1	0	"e that the LA formulation will allow the introduction of new images in the environment during the learning iterations as long as the stationarity assumption is not violated. The reader is referred to =-=[19]-=- for details about optimality proofs. 3 We define an image class in Section 4.4.sMODELING PARAMETER SPACE BEHAVIOR 193 FIG. 4. Equal feedback N player game scenario. In the present scenario, we associ"
							
226	34874449	35003070	0	0	1	0	"e goal of recent papers in this problem domain, and is our primary interest. To motivate our approach, we explore the shortcomings of greedy schedulers. 3. Greedy Schedulers An attractive (and common =-=[7]-=-) first approach to scheduling is to try to find a simple greedy solution. Greedy algorithms are straightforward to explain, prove and implement. They often attempt to encapsulate the criticality 2 Al"
							
227	67065111	68466737	0	0	0	1	"one may consider taking a poset as fundamental as a (maybe un-necessary) restriction of the class of theories we construct, or as an explanation of why our spacetime has to be of Lorentzian signature=-=[51]-=-. We can then say that, if a theory or model for quantum gravity has encoded in it a clear notion of causal ordering, so that it allows for the identification of a partially ordered set of events, the"
							
229	162024399	182146321	0	0	0	1	"FN-c-producing effector cells lacking IL-17 expression, which could be accumulated remarkably and cause significant pulmonary pathologic alterations [12] or the regression of large established tumors =-=[15,17]-=-. These findings may be explained by the existence of the plasticity of Tc17 cells. However, the exact effects of naturally existed Tc17 cells in vivo such as in the lung, in the digestive mucosa [18]"
							
231	8999666	8546022	0	0	0	1	"i] \\Gamma! hA; BCjDi. The family of semi-graphoids over N will be denoted by F sem (N) and the family of graphoids over N by F gra (N ). The facts mentioned in the following lemma are wellknown - see =-=[2, 8, 6]-=-. Figure 1 illustrates the situation. Lemma 2 Any probabilistic model is a semi-graphoid and any positive probabilistic model is a graphoid. For page limitation we omit definitions of usual graphical "
							
232	139945287	159575735	0	0	1	0	"n to formulations and solution techniques which are well suited to general-purpose numerical methods for solving elasticity problems on complex configurations, in particular the finite element method =-=[28, 125]-=- and the boundary element method [23, 40]. The important role of the variational principles of elasticity, which in particular provide the foundations of the above-mentioned numerical solution methods"
							
233	25163023	24268877	0	0	1	0	"sed hardware adaptation framework based on a dynamic optimization system. 3.1 HOT SPOT DETECTION Program hot spots are frequently executed code sequences, such as procedures [5] or basic block groups =-=[8]-=-[18][24]. To amortize the overhead of runtime translation and further improve performance, most DO systems apply high-cost, high-payoff optimizations only to hot spots. A DO system usually includes th"
							
234	42860724	44104828	0	0	0	1	"s. In particular, several people [1, 2, 3, 4, 5] studied thermodynamic Bethe ansatz (TBA) equations [6] related to sl(r|s). On the other hand, study on osp(r|2s) case has begun only recently in refs. =-=[7, 8]-=- (cf. ref. [9]), in which we deal with the simplest osp(1|2) model [10, 11]. Namely, we have derived the Y -system from the osp(1|2) version of the T-system [12], and transformed it into the TBA equat"
							
235	19471193	18283487	0	1	0	0	"before for building the model. This consists of multi-scale Chamfer-like matching and considers local and relational information efficiently. We introduced the core of the above presented approach in =-=[17]-=-, where we focused mostly on obtaining an efficient learning stage. In this paper, we further exploit the advantages of our representation in matching and learning, and significantly speed up both ste"
							
236	11477319	10771517	0	0	0	1	"gression model fitting. Nonlinear total force and moment model to be applied in a full-size helicopter simulation is studied in [39]. [43] presents a state-space description of a helicopter. See also =-=[14, 19, 11]-=- for other helicopter models. 4 Low-Level Control Survey Very disparate means of controlling an autonomous helicopter are found when surveying research material. It is important to understand the moti"
							
237	2876042	2762979	0	1	0	0	"ecome tricky when the user roams over multiple replicas. View consistency in roaming environments is implemented by the same technique used for maintaining causal update consistency (Section 2.1.2.2) =-=[7, 8, 45, 74, 24-=-]. Here, a read request is associated with (the compressed representation of) the set of causally preceding read or update requests. A request that does not satisfy its causality constraint either is "
							
238	64372707	65598873	0	0	1	0	"ce obviously shape(x,y) = shape(y,x) it is a symmetric space. This space shares many common features with the Grassmann spaces, especially from the point of view of the linear programming method (see =-=[2]-=-, [9], [31]). 4.2.4. The space X = ? under the action of G = ? "
							
239	118127746	132462131	0	0	0	1	"bye (D) for NO, 0.167 D for N2O and 0.29 D for Fig. 1. Total and partial cross-sections in NO. Total, recommended cross-sections, this work. Elastic: broken line, semiempirical model of Josic? et al. =-=[43]-=- below 3 eV and present analysis at 3"
							
240	119884115	134668999	0	1	0	0	numerical comparisons with other block methods can be found in same article. 3.3 Inverse Free Preconditioned Krylov Subspace Method Inverse free Krylov subspace method is developed by Golub and Ye in =-=[36]-=-. This method is a combination Krylov subspace methods with preconditioning. It is an extension of the inexact inverse iteration scheme and Rayleigh-Ritz projection methods. It is designed for solving
							
241	144284297	163235785	1	0	0	0	"of the results in the p-dependent setting will use a series of comparisons. In order to carry out the analysis of the main comparison, the Lindeberg swapping method will be used, following ideas from =-=[11, 34]-=-. This method has recently proved useful in various studies of random matrices, especially for the local statistics (see [35] for a survey). One of the main difficulty in implementing the Lindeberg me"
							
242	201766819	239337902	0	0	0	1	"hat river bank vegetation has a significant impact on the stabilitysof a stream bank and the mechanisms which cause retreat and failure; however, prediction of itssinfluence remains a difficult task (=-=Eaton and Giles, 2009-=-; Osman and Thorne, 1988; Pollen,s2007; Simon and Collison, 2002; Thorne and Osman, 1988; Thorne, 1990; Wynn andsMostaghimi, 2006). From a system-wide perspective, it is believed that the authority ve"
							
243	134962337	153520364	0	0	1	0	"sics, certain classes of complex equiangular tight frames are ideal models for quantum measurement devices [75, 96]. Further applications occur in combinatorial design theory [86], speech recognition =-=[69]-=-, and many other areas. Besides their many applications, equiangular frames are also appealing to the author of this work as instances of beauty in mathematics. The problem with equiangular tight fram"
							
244	55961103	56632791	0	0	1	0	"nalogously, it is possible to use data obtained from photogrammetry [16] to fill the holes in architectural models. Nevertheless, the acquisition of these integration data can be quite cumbersome. Xu =-=[19]-=- proposed a much simpler source of data: a single image of the object. It is used to estimate a set of normal vectors, which generates a smooth surface which should recover the real shape of the objec"
							
245	47202028	47786807	0	0	0	1	"t to the nuclear absorption effect in the multiplicity ratios. The energy dependence of ?hp and ?hn [35] has been explicitly taken into account, and is at variance with respect to the original models =-=[11,12]-=-. The energy behavior of the total hadron-nucleon cross section is shown in Fig. 7, in the case of a krypton target, for positive/negative pions and kaons. The corresponding charged hadron cross secti"
							
246	103819411	113308546	0	0	0	1	"an occur between groups (Tajfel, 1982), thus creating conflicts(e.g., Jehn et al., 1999; Pelled et al., 1999), dissatisfaction (e.g., Cummings et al., 1993;sThornburg, 1991), and a spiral of dislike (=-=Lau & Murnighan 1998-=-; Li & Hambrick 2005).sThescritical factor seems to be how teams handle the group division, specifically the cognitive andsaffective integrating mechanisms they employ to manage the pressure that subg"
							
247	21642217	20420518	0	0	0	1	"g times of most graph algorithms depend on both the number of vertices and the number of edges when the graph is represented by an adjacency list. However, most textbooks on algorithm analysis (e.g., =-=[3, 4, 5, 8]-=-) do not explicitly extend the definition of asymptotic notation to multi-variable functions. Instead, they include analyses using asymptotic notation with multiple variables, applying the properties "
							
248	84523256	87989515	0	0	0	1	"nly routing protocol connecting the Internet at the Autonomous System (AS) level [1]. Ever since its deployment, BGP has been criticized because it is prone to stability and convergence problems [2], =-=[3]-=-. Before any significant improvements to BGP can be implemented, we advocate that we need a better fundamental understanding of the impact of policies in shaping the Internet"
							
249	90378894	95382873	0	0	0	1	"ects can be largely corrected for in numerical models.sOther proxies of CO2 concentration can be found in the carbon isotopic ratios of tree rings and corals (Bohmset al., 2002), fossil leaf stomata (=-=Retallack 2001-=-; Kouwenberg et al. 2005), and geochemical measurementssand models (Berner 1994; Pearson and Palmer 2000).These become useful mainly for times before thesoldest ice as they are much less precise than "
							
250	4383354	4240324	0	0	1	0	"b application a difficult task to perform. Design methods and systems with support of mapping higher-level concepts and finegrained entities to the Web, like OOHDM [28], RMM [16], JESSICA [2], or TML =-=[18]-=- address these problems in different ways. The disciplined development of large-scale Web applications with heterogeneous legacy systems in the back-end and a possible partial distribution for mainten"
							
251	57457390	58210316	0	0	1	0	"additional contribution found in [29] is the development of a pruning, or post processing strategy, based on Dynamic Programming. This strategy dominates the one suggested in [15]. Lucena and Resende =-=[27]-=- specialized the STP formulation in [14, 23, 28] to PCSPG and used a cutting plane algorithm to generate Linear Programming (LP) relaxation bounds. The algorithm was tested on instances from the liter"
							
252	22810111	21699157	1	0	0	0	"variant. For example, in scope three, Korat generates the 15 trees shown in Figure 2 in less than one second. It is practical to use Korat to generate inputs that give high code and mutation coverage =-=[7]-=-. To illustrate, consider the method remove that removes a given element from a given tree. Figure 3 shows how statement coverage and the rate of mutant killing [7] vary with the scope for this method"
							
254	80642739	83348601	1	0	0	0	"1, at fiveyear intervals, and we have incorporated those into our own working life tables. Life tables for 2006 were created by us using procedures built into the MEDS population projection software (=-=Denton, Feaver, and Spencer, 1994-=-, 2005a). We estimated life tables for years within the five year intervals using linearly interpolated values of q(x). For years beyond 2006 (required for completing incomplete cohort histories) we u"
							
256	74956935	76691408	0	0	1	0	"d is increased when the term i occurs in links pointing to d. Hence, according to inner product comparison, two linked documents are generally considered more similar than two unlinked documents. In =-=[8]-=-, a different document expansion technique is investigated. A thesaurus is first built from link information: document connectivity is used to extract pairs of related terms (i.e. terms which frequent"
							
257	53051948	53546871	0	0	0	1	"pin mixing can resolve confusion with T=3/2 states in 11 B and 11 C. Shell-model calculations [48,49,50] suggest a 1/2 + , T=1/2 partner state near the 1/2 + , T=3/2 state. Also, both the shell-model =-=[51,52,53]-=- and three-cluster model calculations [54] of 11 B predict 1/2 ? , T=1/2 state above the ?+ 7 Li decay 16Excitation (MeV) 16 14 12 10 8 6 4 2 K=3/2 + K=5/2 + 11 C 11 B 0 0 5 10 15 20 25 30 35 40 J(J+"
							
258	57267755	58011629	0	0	1	0	"re the OLSR protocol. We classify them in cryptographic mechanisms and IDS systems. 2.1.1 Cryptographic Mechanisms In this section, we describe proposed solution based on cryptographic mechanisms. In =-=[19]-=-, Clausen et al. present a digital signature mechanism for authentication and authorization in OLSRv2. The authors introduce the concept of admittance control for OLSRv2 networks and suggest a securit"
							
259	129526219	147046205	0	0	1	0	accuracies. 2 Related works Vector quantization and its acceleration has long been studied in image and video coding. Tree-structure VQ methods such as TSVQ are popular because of its speed advantage =-=[10]-=-. Various branch-and-bound methods have also been used to find the exact or approximate NN with faster speed. Tree structure is a useful tool to reduce search time. The hierarchical kmeans tree can or
							
260	77864336	80023095	0	0	1	0	"h the query terms. A more description of this model can be found in [17,18]. 5.6.2 Belief Network Model The belief network generalizes the inference network model. It was introduced by Berthie et al. =-=[3]-=-. It is also based on an epistemological interpretation of probabilities. It di ers from the inference network model in that it adopts 11a clearly de ned sample space. It therefore provides a separat"
							
263	81321634	84149464	0	0	0	1	"rs of SHM systems, and (d) An outlook on the expected future of SHM systems. 2 MATHEMATICAL MODELS 2.1 The Fluid-Structure Interaction (FSI) problem Figure 1: Typical FSI Problem in the ALE framework =-=[7, 8, 9, 10]-=- Let us assume that ? ? R d , d = 2, 3, be a bounded domain of the fluid-structure interaction problem in reference configuration at time t = 0 with the Lipschitzian boundary [1, 5]. The outer unit "
							
265	127702335	144556804	0	0	0	1	"closure (such as [23]) for improved results and is not the focus of our approach. VII. EXPERIMENTAL RESULTS A. Datasets We evaluate our 2D semantic segmentation approach on the two NYU Depth datasets =-=[6]-=-, [1]. Both contain images from indoor scenes, recorded with a Kinect sensor. The first dataset contains 2284 labeled RGB-D images, for which missing depth values in the depth maps have been filled. W"
							
267	32351305	31834287	0	0	1	0	"ex systems still relies heavily on simulation-based methods for monitoring [11]. Along these lines several authors have proposed simulation techniques that can provide guarantees for uniform coverage =-=[12, 13]-=- or even completeness results [14]. This paper develops a simulation-based method for verifying temporal properties of complex continuous systems. In particular, given a continuous dynamical system, a"
							
268	120562187	135450103	0	0	0	1	"not taken into account in the model and thus appear only through the coefficient of tortuosity. On the other hand the coarse aggregates used for both concretes are limestone, and it has been observed =-=[45, 30]-=- that limestone aggregates do participate to the leaching process (the aggregates dissolution provides calcium ions for the porous solution chemical equilibrium), but it has been chosen not to model t"
							
270	200821303	237980784	0	0	0	1	"t incidence rates of up to 14 % have been reported [11, 12]. A number of different therapeutic approaches have been described for the treatment of parotid fistulas subsequent to parotid gland surgery =-=[2, 11, 15]-=-. In recent years, treatment with botulinum toxin (BoNT) has gained increasing recognition [3, 4, 6, 9, 10, 12, 13, 16]. Reports in the literature refer mainly to early fistulas after parotid gland su"
							
272	5160455	4993229	0	1	0	0	"anism only, aiming to improve the relevance of retrieved components to the query submitted by users. The retrieval mechanism of CodeBroker is similar to that of those systems using free-text indexing =-=[12]-=-. Many sophisticated retrieval mechanisms have been proposed, such as multifaceted classification, frames and semantic networks, and associative networks [13]. Despite their sophistication and the sim"
							
274	199526965	236087754	0	0	1	0	"infectious diseases as well as to improve their applicationsin biotechnology. Hence, rapid and sensitive techniquessfor the detection and characterization of microbialsproteases are highly desirable (=-=Germano et al. 2003-=-). Thespresent study is undertaken to investigate the alkalinesprotease production from soil sample of screenedsbacterial isolates and to investigate the characteristics ofsthe protease produced by ba"
							
275	10617176	10002282	1	0	0	0	"r highest-scoring substitutions for a conjunctive query. The algorithm for accomplishing these steps efficiently is based on a combination of admissible A search with IR indexing and pruning methods =-=[8, 7]-=-. Higher-level operations associated with the logic can be implemented or approximated using this operation as a subroutine. These design decisions lead to a fairly efficient inference scheme, as demo"
							
276	58535724	59286302	0	0	1	0	"r. The main idea of the classification scheme is to combine HOG and Haar descriptors using GMKL, so that both HOG and Haar can contribute their benefits in the final classifier as shown in Fig. 3. In =-=[13]-=-, the proof of the existance of ?dT is achieved by using the dual formulation of T , which is as follows for the classification problem: Wc(d) = max 1 ? t ? ? 1 2 ?tY KdY ? + r(d) subject to 1 t Y ? ="
							
277	28807327	28099470	0	1	0	0	"dressed via translations (from high-level constructs to lower-level mechanisms) with securitypreservation results (for instance, full abstraction results). We have taken some steps in this direction [=-=Chaudhuri and Abadi, 2005-=-]. The present chapter complements those steps, by providing a type discipline and proof principles that apply to a source language for those translations. Thus, the techniques developed in this chapt"
							
279	145928569	164598103	0	0	1	0	"literature, the value of m is often chosen between 3 and 20 [13]. However there are also papers reporting that a very large value of m is necessary for generating satisfactory results. One example is =-=[11]-=- in which m is set to 240. To find a proper value of m in our curve fitting problem, we have tested many examples with m = 3, 5, 7, 20, 50 and 120 to understand the behavior of our algorithm. Our conc"
							
280	11451284	10748338	0	0	1	0	for the Minimum Congestion Graph Embedding in a Cycle problem: Theorem 3.1.1 [3] The Minimum Congestion Graph Embedding in a Cycle problem can be solved optimally in polynomial time. Schrijver et al. =-=[7]-=- developed an O(mn 2 ) time optimal algorithm for the graph with m edges and n nodes. 3.2 Minimum Congestion Hypergraph Embedding in a Cycle (MCHEC) 3.2.1 NP-completeness As a general case of the Mini
							
283	10668799	10049639	0	0	1	0	neuro-fuzzy controllers. One of the interesting architectures for neuro-fuzzy controller has been proposed by Jang [Jan92]. In this section we will describe one learning method for a fuzzy controller =-=[Nom92]-=-. The starting point is the Takagi-Sugeno method where output membership functions are defined as singletons. 6.1 Linguistic rules Assume that a fuzzy controller has m inputs x 1 ; x 2 ; : : : ; xm an
							
286	144260878	163215789	0	0	0	1	"wisted boundary conditions. 10Note that there are only a few examples of integrable quantum models where the completeness has been proven in the ABA framework, including the XXX Heisenberg model; see =-=[82]-=- and references therein. 11The completeness (i.e. the non-degeneracy of spectrum) of the set of commuting conserved charges is a natural requirement to state the complete integrability of the quantum "
							
287	104063477	113636406	0	0	0	1	"ative phase between adjacent spectral modes can, for example, be extracted in the time domain after spectral filtering [43, 44, 45, 46, 47], or in the spectral domain after proper temporal modulation =-=[48]-=-. The latter class of techniques also includes spectral shearing interferometry, where the quantity E?(?)E??(? ? ?) is obtained by measuring the interference of the pulse under test with its sheared r"
							
288	22355428	21200916	0	0	0	1	"the sensor-actor coordination problem. A TDMA MAC protocol is introduced in [4] where it is assumed that sensor and actor nodes are of same type which obviously does not reflect the actual WSANs. In =-=[15]-=-, the routing problems are investigated between sensor and actor nodes. However, no coordination problems in sensor-actor or in actor"
							
289	195714595	230529885	0	0	0	1	"d Garofalo in 1978 and Cohen and Felson in 1979. Although their theoriesswere developed separately, they have proved to be so similar that they have been combined in thes33 works of many researchers (=-=Maxfield, 1987-=-:277).sThe lifestyle/exposure model relies heavily on the spatio-temporal organisation of activities carried outson a routine basis. This view is not an entirely new concept (Schafer, 1969:76), as it "
							
290	1275192	1196477	0	0	1	0	"using O(n) processors. Plugging these algorithms into the parametric-searching paradigm, we obtain an O(n log 3 n)-time algorithm for the slope-selection problem. 2.3 Improvements and extensions Cole =-=[76]-=- observed that in certain applications of parametric searching, including the slope selection problem, the running time can be improved to O((P +T s )T p ), as follows. Consider a parallel step of the"
							
291	8434118	8031287	1	0	0	0	"problem is inherent, due to the topology of continuous spaces. Thus, some kind of regularization is needed to prevent overfitting from happening. Our approach to regularization is based on shrinkage =-=[30]. Shrinkag-=-e is a well-known statistical technique for ""lumping together"" different estimates from different data sources. In a remarkable result by Stein [30], shrinking estimators were proven to yiel"
							
292	49431060	49613757	0	0	1	0	"g utilizes the fact that there are a number of orthogonal radio channels. For example, a representative sensor standard, IEEE 802.15.4 (e.g., CC2420 radio in MICAz motes) has 16 channels. Wood et al. =-=[21]-=- proposed a proactive (periodic) channel hopping scheme, coordinated synchronously. Reactive channel hopping, whereby radios switch channels to escape jamming, has been proposed to mitigate jamming in"
							
293	101338775	109956977	0	0	0	1	"ere used as a covariate. Procedure The procedure is based on ones reported by Loftus and colleagues (Loftus et al., 1996; Loftus & Pickrell, 1995) and by Hyman and colleagues (Hyman & Billings, 1998; =-=Hyman & Pentland, 1996-=-). For ease in explanation, the procedure is divided into several steps. Step 1: Recruitment. Participants volunteered to participate in a study concerning the similarities and differences in how pare"
							
294	74503443	76125287	0	0	1	0	"eature initialization, Undelayed techniques immediately introduce features in the map so that they can be used to improve the robot estimation (Montiel et al., 2006), (Trawny and Roumeliotis, 2006), (=-=Costa et al., 2004-=-), (Kwok and Dissanayake, 2004) while Delayed techniques defer the introduction into the map until the features are near-Gaussian (Bailey, 2003), (Klippenstein et al., 2007). Delayed techniques often "
							
295	10341755	9750166	0	0	1	0	"d his performance results for the algorithm show it consistently producing compression very near (though not surpassing) the compression attained with static Huffman code for the entire input. Vitter =-=[40, 41]-=- then developed a dynamic Huffman algorithm that improves on Knuth's in the following way: rather than simply revise the Huffman tree after each input symbol, Vitter also finds a new Huffman tree of m"
							
296	202567588	240485431	0	0	0	1	"r example, Threshold-k, k-Distinctness, and k-Sum have the same non-adaptive learning graph complexity, and so do Triangle and Trangle-Sum. Analogously to Theorem 2.19, we have Theorem 3.3 ([Bel12d], =-=[BL11]-=-). The quantum query complexity of a certificate structure is at most a constant times its learning graph complexity. 71 In Section 4.3, using the dual of (3.8), we prove the reverse statement for all"
							
297	124460654	140361531	0	0	0	1	"the arm as a two-rotative joints limb. In this case, it has been shown that the human arm movement can be approximated by the function optimizing the following cost function (minimum jerk principle) =-=[11]-=-: J = ? T 0 [( d3xr dt3 )2 + ( d3yr dt3 )2] dt . This criterion has been chosen to verify the effectiveness of the proposed method. We set nq = nc = 2 to consider James"
							
298	26394946	25617281	0	0	1	0	"atistical background-subtraction, imagedifferencing, and hot-spot detection. These simple extraction/detection approaches are commonly used in both color and thermal imagery (e.g., Wren et al., 1997; =-=Iwasawa et al., 1997-=-; Bhanu and Han, 2002). Statistical background-subtraction (BS) involves thresholding the Mahalanobis distance of an input image to the mean/variance background model at each pixel. We in fact use thi"
							
299	100595193	108943911	0	0	0	1	"a by ciprofloxacin in each model was assumed to occur according to a maximum effect (Emax) pharmacodynamic relationship, where the killing rate is a saturating function of antimicrobial concentration =-=(14)-=-. The simplest model was one with equivalent growth rate and ciprofloxacin killing rate constants for S and R (model 1). Changes in S and R over time were described by the following differential equat"
							
302	110089176	121827604	0	0	0	1	"or greater, unless they were specifically noted as being potentially important in one of the specific waste materials considered. The dose calculation methodology was updated to ICRP Publication 30 (=-=ICRP 1979-=-), using the GENII computer codes (Napier et al. 1988a; 1988b; 1988c) to perform updated calculations for the five exposure pathways. Radionuclide HMs are now based upon effective dose equivalent (EDE"
							
303	11415717	10717818	0	0	0	1	"ire more work. We plan to study whether our approach can be adapted to other formalisms for mobile and distributed computation such as the distributed ?-calculus [18] or the distributed join-calculus =-=[7]-=-.Along the same ideas, in some process calculi without any primitive notion of site, we could choose to regard name creation as a form of resource allocation, and find out whether (some of) our ideas "
							
307	195714432	230529712	0	0	0	1	"ssurance.s7.2.2.2sRecommendations related to farmerssAs the areas policed by rural police stations cover many square kilometres, it is necessary thatsfarmers take responsibility for their own safety (=-=Cilliers, 1998-=-i:71; Cilliers, 2006:91). Immediatesreaction to suspected danger is often essential to avoid victimisation. Although theslifestyle/exposure model, the routine activity theory, newspaper reports, as we"
							
308	14242097	13276321	0	0	1	0	"col for higher bit rate networks. Several proposals for routing protocols in ad hoc networks were made (a review can be found in [13]) and analyzed with respect to system conditions like node density =-=[12]-=-. Lifetime and propagation delays were studied analytically and with simulations ([5], [4]). Simplification of Bluetooth will lead to a new consensus for low-power wireless personal area networks (Zig"
							
309	3217583	3107785	0	1	0	0	"e 1ke 2 and e 2k e 3, then e 1k e 3. The Nondeterminator and the SP-bags algorithm The race-detection algorithms in this thesis are based on the the SP-bags algorithm used in the Nondeterminator tool =-=[9]-=-, which e ciently nds determinacy races (as opposed to data races) in Cilk programs. SP-bags is the fastest published determinacyrace detection algorithm that nds a determinacy race in a computation i"
							
311	20137157	18940582	0	0	1	0	"own in Table 4.2. Since m, the number of all possible sets B(p ? q), is less or equal to n 2 , we have the following theorem directly from 64sTheorem 4.6. Table 4.1: Self-adjusting coverage algorithm =-=[22]-=- 1: Given T . 2: gtime ? 0 3: NT ? 0 4: loop 5: randomly choose (s, i) ? U with probability 1/|U| as before 6: repeat 7: gtime ? gtime +1 8: if gtime > T then 9: go to FINISH 10: end if 11: randomly c"
							
